Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_52_700.jpg;0;1;0;0.2113782;99.70547;85.62971;0.9173184;48.93663;-4.680346E-05
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_52_758.jpg;0;1;0;0.2680159;99.7192;85.64536;1.184829;48.73934;0.001688992
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_52_800.jpg;0;1;0;0.2944463;99.72895;85.65652;1.322584;48.61598;-8.678787E-05
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_52_859.jpg;0;1;0;0.354001;99.74211;85.67243;1.268634;48.42081;-0.002561789
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_52_918.jpg;0;1;0;0.4245648;99.75723;85.68977;1.135291;48.32424;0.001302073
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_52_979.jpg;0;1;0;0.452553;99.7749;85.70954;1.060607;48.28868;-0.0005126454
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_038.jpg;0;1;0;0.5173248;99.79482;85.73178;1.037565;48.21294;0.0003723063
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_078.jpg;0;1;0;0.5514343;99.80983;85.74848;1.062751;48.17456;0.000187649
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_118.jpg;0;1;0;0.5867634;99.82622;85.76665;1.116653;48.08397;0.0004691577
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_177.jpg;0;1;0;0.6145401;99.85197;85.79513;1.197214;48.01577;9.64441E-05
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_238.jpg;0;1;0;0.675581;99.87949;85.82553;1.251224;47.9965;-0.001780409
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_298.jpg;0;1;0;0.7315214;99.90833;85.8573;1.236232;47.9868;-0.0007282517
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_356.jpg;0;1;0;0.7621672;99.93913;85.89121;1.205796;47.97781;-0.0006360688
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_416.jpg;0;1;0;0.8242085;99.97247;85.92781;1.201974;47.80315;0.0006032704
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_456.jpg;0;1;0;0.8568157;99.99592;85.95351;1.207921;47.81944;-0.0009743455
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_517.jpg;0;1;0;0.9084541;100.033;85.99413;1.220943;47.81215;-0.0008144715
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_575.jpg;0;1;0;0.9631988;100.0718;86.03665;1.220439;47.80451;-0.0008450541
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_635.jpg;0;1;0;1.005973;100.1126;86.08132;1.214976;47.79731;-0.0008389945
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_694.jpg;0;1;0;1.052637;100.1551;86.12786;1.21448;47.79757;-0.0003840443
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_735.jpg;0;1;0;1.08782;100.1848;86.16033;1.224963;47.78516;-0.0007518394
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_795.jpg;0;1;0;1.129821;100.2306;86.21046;1.225043;47.75035;-0.0007532272
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_853.jpg;0;1;0;1.183457;100.2785;86.26278;1.230237;47.74434;-0.0008333683
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_894.jpg;0;1;0;1.210415;100.3113;86.29868;1.228884;47.74004;-0.0008771074
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_952.jpg;0;1;0;1.262758;100.3624;86.35454;1.237547;47.73241;-0.0008183728
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_53_994.jpg;0;1;0;1.289173;100.3975;86.39279;1.237733;47.72719;-0.0009064389
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_054.jpg;0;1;0;1.337897;100.4517;86.45193;1.236919;47.7032;-0.0007779156
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_094.jpg;0;1;0;1.368783;100.4889;86.49256;1.240017;47.68843;-0.0008617127
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_153.jpg;2.696403;1;0;1.414707;100.5459;86.55566;1.244257;47.79418;-0.001732262
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_213.jpg;5.339388;1;0;1.461192;100.6035;86.6218;1.244993;48.14957;-0.003289673
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_273.jpg;8.09141;0.8165319;0;1.5042;100.661;86.69122;1.235994;48.77773;0.006672939
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_333.jpg;8.996526;0.6363039;0;1.537551;100.7177;86.76348;1.209442;49.65827;0.03482727
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_373.jpg;6.919777;0.497854;0;1.555794;100.7557;86.81236;1.180051;50.19947;0.04372093
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_441.jpg;4.483387;0.335428;0;1.575756;100.8132;86.88639;1.131833;50.80961;0.05359884
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_493.jpg;1.680297;0.1485553;0;1.58532;100.8715;86.96022;1.07153;51.13364;0.04888261
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_535.jpg;0;0.02686954;0;1.586598;100.9107;87.00897;1.019006;51.20525;0.03697003
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_577.jpg;0;0;0;1.582807;100.9498;87.05736;0.9544515;51.21613;0.02380355
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_638.jpg;0;0;0;1.579565;101.0081;87.12952;0.8378727;51.21461;0.009812082
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_698.jpg;0;0.1198618;0;1.5751;101.0659;87.20136;0.7059458;51.21251;0.003364283
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_738.jpg;0;0.2403624;0;1.576372;101.1045;87.24936;0.6193516;51.21233;0.002452621
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_786.jpg;0;0.3627534;0;1.58156;101.1628;87.32195;0.5040794;51.21233;0.001749303
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_841.jpg;0;0.5495903;0;1.595856;101.2023;87.37102;0.4450998;51.21233;0.001297935
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_889.jpg;0;0.6705923;0;1.611092;101.2626;87.44614;0.3976099;51.21234;0.0006570881
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_943.jpg;0;0.8573785;0;1.651019;101.3248;87.52352;0.4081458;51.21234;6.14866E-05
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_54_986.jpg;0;1;0;1.676238;101.3674;87.57655;0.4476202;51.21228;-0.0004284207
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_55_026.jpg;0;1;0;1.705316;101.4111;87.63084;0.5128371;51.21207;-0.0005816033
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_55_067.jpg;0;1;0;1.734772;101.4557;87.68629;0.5992166;51.21071;-0.0005134128
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_55_126.jpg;0;1;0;1.779067;101.5245;87.77158;0.7594213;51.20683;-0.0005918504
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_55_173.jpg;0;1;0;1.808651;101.5714;87.82978;0.8813561;51.2033;-0.0006493183
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_55_228.jpg;0;1;0;1.853105;101.6435;87.91898;1.078902;51.19656;-0.0007441957
/home/meow/Automania/IMG/robocam_2024_04_03_05_42_55_268.jpg;0;1;0;1.882794;101.6925;87.97966;1.216196;51.19091;-0.0007868764
